State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Telangana,Jogulamba Gadwal,47.8,853,27.4,2.2,75.5,74.9,71.5,0,0.5,0.2,0.1,0,2.6,1.6,24.7,43.3,96.5,88.3,94.2,49.7,17.3,41.7,2.8,Rest of India
Telangana,Kamareddy,51.1,870,35.6,2.3,56.8,56.8,55.9,0.1,0.3,0.2,0.3,0,9.8,5.4,9.4,44.4,96.8,86.8,97.1,33.4,34.5,43.9,3.1,Rest of India
Telangana,Karimnagar,63.6,933,50.8,1.1,56.8,56.4,44.4,10.9,0.1,0.1,0.6,0,10,2.9,14.5,24.3,88.2,89.5,98.4,30.3,13.9,27.5,5.9,Rest of India
Telangana,Khammam,61.8,905,40.9,1.4,78.7,76.2,73.8,0.4,0.2,0.4,0.8,0,3.3,1.3,25.8,54.9,99.4,93.2,97.9,22.2,24.7,26.2,6,Rest of India
Telangana,Komaram Bheem Asifabad,52.9,917,28.7,1.3,49.4,49.1,46.9,0.3,0.1,0.5,0.8,0.2,6.8,2.7,12.5,33,96.7,85.5,82,38.1,35.7,41.1,2.7,Rest of India
Telangana,Mahabubabad,55,885,34.7,0.5,75.4,74.7,68.9,4.6,0,0.4,0.3,0,4.7,2.2,16.3,59.5,98.1,91.5,97.7,33,19.3,26.3,3.6,Rest of India
Telangana,Mahabubnagar,54.8,789,40.4,2,72,70.1,68,0,0.3,0.1,0.4,0,2.7,1.7,31.4,48.3,98.7,84.9,98.1,42.6,17.8,33,4.1,Rest of India
Telangana,Mancherial,58.4,909,48.8,0.9,55.3,55.3,53.9,0.5,0.2,0.2,0,0.2,11.3,2.9,9.5,33,93.6,87.7,90.1,25.9,22.1,27.4,3.4,Rest of India
Telangana,Medak,52.3,848,39.3,0.9,57.4,55.7,53.9,0.3,0,0.3,0.7,0,7.4,3.8,9.1,51.4,97.7,80.8,98.9,36.4,21.3,42,1.1,Rest of India
Telangana,Medchal-Malkajgiri,72.9,828,59.3,1.1,76.4,72.4,65.8,0.8,0.9,1.4,1.3,0.6,3.7,2,25.4,57.9,96.2,90.6,98.3,33.4,12,25,1.2,Rest of India
Telangana,Nagarkurnool,51.1,771,36,1.9,77.3,76.5,73.2,0,0.8,0.6,0.6,0.2,3.9,1.7,27.1,58.3,97,90.3,98,35.1,27.3,30.9,2.5,Rest of India
Telangana,Nalgonda,59.8,883,40.9,1,78.5,77.2,75.1,0,0.4,0.5,0.7,0,2,1.2,23.6,62.8,98.7,92.2,98.3,31.7,29.8,28,1.7,Rest of India
Telangana,Nirmal,53.3,1138,40.9,1.8,59.3,58.5,53.8,0.3,0.6,1,0.4,0.2,6.7,3.6,9.2,39.4,96.9,87.2,96.7,31.7,18.1,33.4,1.4,Rest of India
Telangana,Nizamabad,54.3,941,42.4,2.1,60.3,56.8,52.4,0,0,1.2,1.5,0.4,9.4,5.2,8.6,60.4,96.2,79.5,97.3,30.5,26.2,38.4,2.8,Rest of India
Telangana,Peddapalli,61.3,913,46.6,0.7,66.1,64.8,60,3.3,0.1,0.5,0.3,0.3,8.3,3.1,16.9,44.5,92.9,87.6,96.5,27.5,28.8,33.1,1.6,Rest of India
Telangana,Rajanna Sircilla,56.4,1115,46.4,1.9,60.7,59.3,49.9,5.9,0,0.3,1.8,0.3,9.9,2.9,18.9,60,99,89.9,97.6,22.4,19.4,26.1,2.3,Rest of India
Telangana,Ranga Reddy,68.6,964,51.4,1.1,72.6,69.7,67.6,0.1,0.3,0.7,0.7,0.1,4.8,2.2,18.7,53.4,95.3,89.8,97.2,37.8,13.9,29.5,4,Rest of India
Telangana,Sangareddy,60.2,1039,41.5,1.2,62.3,61.7,56.8,0.3,0.6,2,1.1,0.1,8.5,4.2,10.2,47.5,98.3,84.7,93,32.9,25,35.1,3,Rest of India
Telangana,Siddipet,60.8,976,51.3,0,59.8,59.4,54.5,0.9,0.7,1.3,1.3,0,9.6,3.7,11.6,46.7,98.9,74.1,99.7,28.1,19.3,29.6,1.5,Rest of India
Telangana,Suryapet,57.4,980,42.5,1.2,78.2,77.9,75.9,0.4,0,0.4,0.3,0,4,2.3,16.6,36.9,99.7,88.6,95.9,29.1,24.9,30.1,2.8,Rest of India
Telangana,Vikarabad,53.1,775,38.3,2,69.8,69.8,68.7,0,0.3,0,0.4,0,4.6,3,8.6,36.5,98.7,80.8,95,32.1,20,37.1,0.8,Rest of India
