State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Assam,Jorhat,84.4,833,42.9,0.4,63.8,32.3,12.5,0.3,3.6,9.9,6,0,10.4,3.2,14.4,62.6,99.2,81.4,96.5,38.7,15.5,33.2,5.4,Rest of India
Assam,Kamrup Metropolitan,87.5,986,49.1,0.4,56.8,41.5,13.4,0,4.5,16.8,6.6,0,8.8,2.5,16.6,50.3,98.3,75.6,89.1,25.4,18.2,25,8.7,Rest of India
Assam,Kamrup,79.4,701,39.2,0,38.7,32.3,8,0,3.4,15.8,4.8,0.3,17.6,7.7,17.1,58.9,95.5,61.4,85,22.6,14.8,19.7,7.5,Rest of India
Assam,Karbi Anglong,76.4,882,30.3,0,66.3,41.1,9.3,0,6.2,23.6,1.8,0,9.3,2.4,23.6,74.6,96.4,56.9,74.9,31.6,17.2,28.2,4.3,Rest of India
Assam,Karimganj,82.1,885,19.6,2.3,64.3,54.9,6.1,0.5,2.3,34,9.5,1.9,8.6,4.2,31,84.5,99.5,63.9,76.4,29.1,48,52.9,1,Rest of India
Assam,Kokrajhar,75.2,1003,27.5,0.9,72.3,58,6,0.1,4.1,44,3.2,0.5,10,3.7,18.7,51.3,98.4,68.3,81.9,34.6,20.5,35.2,4.3,Rest of India
Assam,Lakhimpur,83.2,985,42.1,1.1,67.1,43.6,10.8,0,3,23.5,5.9,0.1,9.8,4.5,30.8,80.3,99.6,67.7,96.2,38.5,18.2,34.4,2.3,Rest of India
Assam,Majuli,78.4,754,41.7,1,63.7,31.3,12.2,0,3.4,13.6,1.2,0.4,11.6,4.7,25.1,85.6,98.4,73.5,90.3,35.4,14.1,22.2,3.8,Rest of India
Assam,Morigaon,79.1,1070,24.5,1.7,70.6,56.7,6,0.1,3.8,39.6,5.5,1,6.5,1.9,27,66.4,98.7,67.9,88.3,43.2,16.1,30.5,4.3,Rest of India
Assam,Nagaon,81.3,969,22.1,1.7,58.6,46.8,7.7,0.2,2.8,30.2,5.4,0.1,12.3,3.1,16.6,73.7,98.3,62,83.7,38.9,19.4,32.4,7.4,Rest of India
Assam,Nalbari,81.8,994,41.6,0.4,53.3,38.7,11.8,0,2.6,21.4,2.9,0,13.2,4.8,18.8,60.6,96.9,73.8,91.8,27.5,15.4,26.7,4.6,Rest of India
Assam,Sivasagar,87.1,915,47.1,0.8,67.3,39.5,12.4,0,4.4,16.3,5.1,0.3,8.3,3.2,22.1,80.1,100,73.8,95.3,26.1,21.1,25.9,3.5,Rest of India
Assam,Sonitpur,74.9,1325,24.3,0.3,74.4,58.9,9.1,0.1,1.7,41.9,5.3,0.6,5.8,2,20.5,72,98.5,63.5,83.5,36.7,13.1,21.9,3.2,Rest of India
Assam,South Salmara Mancachar,69.4,911,20.9,0.7,71.5,60.8,1.1,0,2.9,53,2.5,0.6,8,1.7,26.7,71.8,99.4,62.6,71.7,38.9,18.2,27.9,5.9,Rest of India
Assam,Tinsukia,72.6,884,25.6,1.5,59.2,36.5,16.7,0.1,3,13.4,2.1,0.5,11,4.4,17.6,72.2,100,73.6,82.6,32.8,21.5,32.2,2.7,Rest of India
Assam,Udalguri,70.6,1255,23.8,1.1,50.2,36.2,6.4,0.3,2,23.9,3,0.2,14.6,6.4,14.6,47.2,99.6,53.1,86.2,33.8,21.3,32.5,5.2,Rest of India
Assam,West Karbi Anglong,73.8,1105,21.7,1.7,69.9,43.3,7.8,0,3.9,26.8,4.4,0.1,7.1,3.2,23,80.5,98.7,55.7,72.5,40.9,23.2,31.1,3.9,Rest of India
Bihar,Araria,53,885,16.8,6.8,46,42.8,36.2,0,0.1,0.9,1.7,3.2,15.9,6.4,11,33.9,90.6,46.4,66.2,49.9,23.9,47.8,3,High-Fertility States
Bihar,Arwal,62.6,815,32.9,3.2,60.5,42.8,35.4,0.1,0.5,1.6,3.4,1,12.2,5.4,27.1,56,95.5,70.1,79.2,45.6,36.8,52.9,2.9,High-Fertility States
Bihar,Aurangabad,65,886,36.9,3.6,69.4,53.5,44.2,0,0.9,2.5,4.3,0.6,7.2,3.5,26.6,52.8,92.3,71.5,77.5,41.2,32.9,48.7,4.7,High-Fertility States
Bihar,Banka,59.3,991,22.6,2.4,71.5,55.7,44.7,0.2,0.7,2.1,4.7,0.4,9.7,4.8,21.7,50,84,72.3,79.8,46.7,26.9,45.8,5.2,High-Fertility States
Bihar,Begusarai,65,1058,34.1,5.9,55.8,46.2,36.7,0.4,1,1.2,2.9,1.2,16,9,17.4,53.1,87.8,58.6,86,37.8,21,35.6,4,High-Fertility States
Bihar,Bhagalpur,65.1,879,35.1,3.4,57.4,46.8,31.9,0,0,3.4,9.1,1.6,12.8,6.5,31.2,39.9,85.4,54,77.2,40,21.2,40.4,2.8,High-Fertility States
Bihar,Bhojpur,67.9,872,34.6,4.2,63.9,47.9,37.7,0.6,2.2,2.2,4.1,0.7,11.8,5.1,17.5,45,93.3,56.1,86.9,40.7,31.3,44,2.2,High-Fertility States
Bihar,Buxer,64.8,886,33.3,5.8,60.5,44.6,35.1,0,1,2.4,3.8,1.4,9.1,3.4,31.4,67.3,92.2,66.9,89.5,39.6,33.2,45.3,4.9,High-Fertility States
Bihar,Darbhanga,54.9,812,22.7,4,61.3,48.8,37.5,0,0.4,3,4.9,1.1,12.7,6.8,21.5,50.2,87.6,50.5,69.9,45.4,19.3,39.2,1.5,High-Fertility States
Bihar,Gaya,59.6,863,30.7,2.5,73.3,52.5,41.5,0.1,1.4,1.9,4.4,0.6,5.9,2.6,29.5,51.9,93.4,72.5,76.6,47.4,24.3,43.5,3.7,High-Fertility States
Bihar,Gopalganj,63.3,943,32.9,3.5,57.3,39.5,27.1,0,0.2,1.5,3.3,0.6,19.4,5.5,17.9,45.7,89.6,53.9,85.9,34.2,21.5,29.2,3.5,High-Fertility States
Bihar,Jamui,53.1,986,20.6,2.9,69.6,47.7,36.8,0,0.9,1.9,5.3,0.2,9.5,5,18.4,64.4,87.8,66.7,73.4,43,19.4,37.5,1.7,High-Fertility States
Bihar,Jehanabad,61.7,1066,30.5,5.6,52.5,45.3,35.5,0,1.5,2.6,4.2,0.8,13,5.6,40.7,61.5,95.8,77.7,89.1,41.3,36.6,51.7,1.8,High-Fertility States
Bihar,Kaimur (Bhabua),62.3,944,29.5,6.5,78.6,59.7,44,0.1,0.4,3.5,7.3,1.7,3.7,1.7,45.1,62.6,97.2,81.6,83.3,44.1,27.3,47.2,2.5,High-Fertility States
Bihar,Katihar,57.5,888,19.8,4.4,33.8,26.4,18.4,0.1,0.5,3.4,1.7,1.3,22.4,9.2,22.6,57.5,91.7,41.7,66.9,43.9,23.5,48.1,1.4,High-Fertility States
Bihar,Khagaria,60.6,918,26.6,6,40.9,34.9,27.4,0.1,0.2,1.7,2.8,0.5,15.4,9.5,14.4,56.2,89.5,54.2,74.2,34.8,25.3,36.4,1.4,High-Fertility States
Bihar,Kishanganj,56,1016,15,5.2,25.3,21,14.6,0.1,0.5,2.4,2.5,0.5,21.7,8,12.2,43.3,84.7,40.7,54.6,38.8,23.9,41.1,1.5,High-Fertility States
Bihar,Lakhisarai,61.2,886,30,4.6,67,50.4,37,0.2,1.2,3.2,5.2,0.6,11.7,6.4,19.8,53.4,87.1,66.7,75.8,42.7,25.6,45.1,1.4,High-Fertility States
Bihar,Madhepura,58,1058,23.2,6.5,55.8,47.6,37.4,0.1,0.3,3,4.3,2.4,11.1,4.7,29.9,60.8,95.6,49.5,75,46.3,20.6,43.5,1.5,High-Fertility States
Bihar,Madhubani,55.6,805,26.5,3.3,47.4,39.5,33,0.1,0.7,1.2,2.2,1.6,17.7,7,18.6,54.3,91.5,58.9,73.7,43.3,17.1,36,2,High-Fertility States
Bihar,Munger,69.5,966,44.4,4.2,68.6,49,33.7,0.2,0.6,3.1,8.6,1.1,10.3,5.7,23.3,65.3,89.8,80.7,93.2,35.5,26.7,39.5,2.4,High-Fertility States
Bihar,Muzaffarpur,65.1,685,33.8,5.5,66.1,55.7,45,0,0.9,2.3,4.7,1.2,12.1,6,20.8,57.9,84.1,55.9,72.5,42.6,19.9,34.7,1.9,High-Fertility States
Bihar,Nalanda,59.6,959,28.8,4.9,72.3,52.4,37.8,0.2,0.6,2.5,6,2.7,7.5,4.2,27.8,54.1,87.6,77.5,80.3,42.6,27.8,46.7,1.8,High-Fertility States
Bihar,Nawada,61.4,865,37.3,3.8,69.8,45.1,30.8,0.4,0.9,2.1,7.3,1.3,6.5,3.3,13.5,45.7,88.1,74.1,79.9,49.4,18.2,37.3,1.1,High-Fertility States
Bihar,Pashchim Champaran,59.8,904,21.6,5.8,50.7,40.2,34.5,0,0.2,1,2.7,0.7,12.1,6.3,21,38.9,83.9,57.3,79.5,43.5,13.2,30.3,2.4,High-Fertility States
Bihar,Patna,69.5,1002,43.6,8,49.3,42.3,31.4,0.1,1.9,2.9,4.9,0.5,15,4.6,18.6,46.4,88.8,59,89.1,34.5,27.5,39.6,1.4,High-Fertility States
Bihar,Purba Champaran,58.2,841,20.1,4.8,49.9,40.8,31.8,0,1.1,1.8,2.5,1.2,17.2,8,18.4,45.7,83.5,43.7,61.5,49.1,16.8,37.9,3.8,High-Fertility States
Bihar,Purnia,53.6,938,19.2,7.4,25.7,24.3,20.8,0,0.3,1.8,0.9,0.3,20.2,9.3,9.4,22,93.4,41,68.9,43.5,25.8,47.1,0.8,High-Fertility States
Bihar,Rohtas,70.5,924,42.6,6.1,73.9,55.7,42.8,1.2,1.2,1.8,6.1,0.6,5.9,2.7,38.6,59.1,91.2,85,89.1,40,31.8,48.2,2.5,High-Fertility States
Bihar,Saharsa,50.2,1034,20.9,4.9,44.7,37.6,34.5,0,0.8,0.5,0.9,0.8,16.7,8.2,21.8,38.7,95.1,38.5,70.4,47.8,20.5,42.7,1.9,High-Fertility States
Bihar,Samastipur,60.9,890,26.5,5.3,63.7,53.8,41.1,0.1,0.6,3,4.4,1.7,11.1,5.5,20.6,59.4,90.4,52.1,83.4,44,21.3,42.8,1.7,High-Fertility States
Bihar,Saran,64.8,779,35.5,4.2,41.1,31.4,23.6,0,0.4,1.7,4.9,0.5,17.3,7.7,18,36.7,94.3,54.1,73,39.7,28.8,45,2,High-Fertility States
Bihar,Sheikhpura,58.5,888,28.3,5.7,78.8,50.3,37.2,0.2,0.6,1.5,4.8,2.3,3.2,1.5,26.2,58.6,87.7,77.1,89.2,53.6,16.3,37.6,5.6,High-Fertility States
Bihar,Sheohar,56.2,1017,21,4.7,65.6,49.7,38.2,0,1.1,1.6,4.3,1.7,10.4,5.3,24.7,58.7,93.2,61.1,74.3,34.4,35.4,42.2,3.4,High-Fertility States
Bihar,Sitamarhi,59.1,1009,19.2,6.3,52.8,41,33.9,0,1.2,1.3,2.1,1.5,17,7.1,17.3,52.2,91.1,51.1,64.4,54.2,16.2,40.8,2.2,High-Fertility States
Bihar,Siwan,70.7,1060,38.9,3.8,53.5,42.4,30.2,0,0,2.3,7,0.7,15.4,5.1,9.3,40.2,82.9,63.9,86.4,36.7,18.2,30.8,3.1,High-Fertility States
Bihar,Supaul,50.9,884,16.2,5.6,63.7,56.2,50.5,0,0.6,0.8,1.5,1.7,12.1,5.7,26.1,44.5,96.1,60.7,80.4,42.3,25.8,45,1.4,High-Fertility States
Bihar,Vaishali,64.5,1118,34,4.6,45.8,41,36.5,0,0.9,0.8,1.9,0.7,16.7,8.3,18.5,47.4,88.5,57.4,81.6,38.3,19.6,38.4,3.8,High-Fertility States
Chhattisgarh,Balod,76.4,1068,46.3,0.3,83.5,79.9,68.4,0.7,2.3,0.8,3.4,1.1,2.6,1,37.5,94.1,99.4,90.8,97.4,33.6,15.1,36,7.7,Rest of India
Chhattisgarh,Baloda Bazar,66.7,1021,38.7,2.2,71.5,62.8,43.2,0.8,4.7,3.8,3.9,0.2,5.3,2.4,17.6,73.4,98.6,72.6,78.1,40.9,19.4,34.1,7.3,Rest of India
Chhattisgarh,Balrampur,62.1,887,32.2,2.6,52,46.8,32.2,0,2.9,1.9,3.2,0.2,16,3.4,35.9,83.5,88.5,78.6,78.9,35.1,23,38.8,1.6,Rest of India
Chhattisgarh,Bastar,58,1042,25.3,1.8,54.2,47.7,31.4,0.9,2.2,6.1,4.9,0.2,12.1,5.3,36.9,86.7,92.4,69.2,63.5,48.1,20.4,45.2,5.2,Rest of India
Chhattisgarh,Bemetara,65.3,987,33,1.2,75.6,71.2,62.4,0.1,1.9,1.6,2.8,0.4,5,2.4,37.3,88.2,99.7,91.5,95,38.4,16.4,27.6,4.1,Rest of India
Chhattisgarh,Bijapur,47.4,1045,24.2,2.3,35.7,32.4,15.6,2.3,4.1,3.3,3.1,0,15.5,4.8,45.6,90.2,96.8,64.9,63.6,53.8,20,46.1,3.9,Rest of India
Chhattisgarh,Bilaspur,71,1070,37.4,2.6,58.5,50.3,33.7,0.1,3,2.5,5.5,0.3,10.4,4,19.9,56,92.9,75.7,79.4,25.7,24,28,4.4,Rest of India
Chhattisgarh,Dantewada,51,1296,24.2,2.1,58.8,54.4,26.6,4.8,6.8,6.1,6.3,0.2,7.1,3.6,46.8,98.8,98.7,84.9,90.5,45.6,19.4,45.8,9.8,Rest of India
Chhattisgarh,Dhamtari,77.3,1120,40.9,0.4,81.1,78.3,64.9,1,1.5,2,5.5,0.4,4.5,2.2,37.2,92.1,99.5,84.3,94.3,30.5,17.9,28.9,2.7,Rest of India
Chhattisgarh,Durg,79.4,812,52.7,1.8,80.6,76.4,61.2,0.6,3.8,1.6,6.5,0.4,4.9,3.4,36.5,89.2,99.4,94.2,96.7,38.9,16.9,27.7,3,Rest of India
Chhattisgarh,Gariyaband,67.4,1011,27.8,1.2,76.2,68.3,48.5,0.4,2.5,3.5,5.6,0.4,3.5,1.4,27.7,88.1,98.3,86.3,87.6,28.9,21.9,22.1,13.5,Rest of India
Chhattisgarh,Janjgir - Champa,67.7,795,37.3,1.5,74.8,66.3,47.6,0.4,2.1,2.1,7.8,1,6.3,1.9,16.5,70.2,97.6,85.9,86.2,32.5,24.6,30.2,6.6,Rest of India
Chhattisgarh,Jashpur,67.9,951,34.9,1.8,56,47.2,33.8,0.1,6.6,1.5,2.4,0.3,12.9,5.1,39.6,94.1,97.1,82.7,85.6,35.8,17,33.6,1,Rest of India
Chhattisgarh,Kabeerdham,61.7,826,32.6,1.5,75.2,72.2,63.8,0.5,2.8,1.9,1.7,0.3,6.2,2.9,43.7,92.4,99.2,93,91.7,37.9,12,27.3,6,Rest of India
Chhattisgarh,Kodagaon,57.5,1111,24.7,0.3,68.2,60.5,38.9,7.8,1.9,5.1,4.8,0.3,3.7,2.3,28.9,91,97.6,79.4,78.7,37.6,22.8,42.2,5.5,Rest of India
Chhattisgarh,Korba,71.1,989,37.1,2,53.6,46.9,34.5,0.6,1.4,3.5,5.7,0.4,13.4,4.4,12.7,52.4,92.9,76.7,75.4,34.7,14.7,27.9,6.3,Rest of India
Chhattisgarh,Koriya,69.7,864,37,1.8,56.4,49.4,34.1,0.2,3.8,0.5,4.6,0.3,12.6,3.8,34.2,84.4,97.9,78.2,80.8,32.1,18.1,31.8,0.3,Rest of India
Chhattisgarh,Mahasamund,68.6,1077,31.2,1.1,71.4,64.2,51,0.9,2.5,2.7,2.6,0,5.5,2.6,22.6,82.6,98.9,89.1,92.9,36.8,14,25.8,3.4,Rest of India
Chhattisgarh,Mungeli,63.6,1017,32.2,1.9,64,60.3,51.3,1.2,0.8,1,1.9,0,11.4,4,25.5,89.7,94,74.4,69.8,30.1,17.7,30.6,2.1,Rest of India
Chhattisgarh,Narayanpur,54,1102,26.5,1.3,57.7,52.8,33.3,5.1,3,3.5,4.3,0.2,9.2,3.4,35.4,93.1,98.3,76.9,74.2,43.7,21.5,39.5,6.3,Rest of India
Chhattisgarh,Raigarh,72.2,812,38.3,1.8,64.1,56,45.5,0,1.9,2.6,2.8,0.6,10.3,5.2,38.4,89.2,100,89.6,87.7,39.1,14.9,28,0.6,Rest of India
Chhattisgarh,Raipur,77.1,1000,40.1,1.6,76.8,72.1,58.2,0.5,3.4,1.9,5,0.2,6.1,3.1,23.1,85.1,100,88.4,90.7,32.2,21.7,32.3,5.6,Rest of India
Chhattisgarh,Rajnandgaon,73.4,988,38.9,0.7,73.3,70.5,58.7,1,2.5,2.4,1.8,0,6.3,2.8,27.6,90.8,100,90.5,95.5,27.6,19.4,31,2.2,Rest of India
Chhattisgarh,Sukma,45.9,925,15.9,1.8,53.7,51.4,25.6,3.6,6.6,4.2,8.2,0,7.6,4,45.5,94.5,98.4,80.6,81.2,41.8,21.2,37.4,6.5,Rest of India
Chhattisgarh,Surajpur,64.8,916,30.7,1,59.8,50.1,41.2,0.2,2.8,1.4,2.6,0.6,14.1,6.1,41.5,80.3,92.2,83,85.9,27.6,19.3,32.3,0.4,Rest of India
Chhattisgarh,Surguja,66.3,1139,37.7,3.2,55.2,49.1,38.5,0.2,2.2,1.1,2.4,0.3,15,5.4,30.8,82.7,97.7,83.4,85.3,29.4,17.5,30.6,1.3,Rest of India
Chhattisgarh,Uttar Bastar Kanker,70.2,1131,40.3,0.5,74.7,69.6,53.4,3.2,2.5,2.2,0.9,0.6,3,0.7,41.4,85.2,99.3,87.4,94.1,24.8,24.5,36.1,2.6,Rest of India
Dadra Nagar Haveli Daman Diu,Dadra & Nagar Haveli,70.8,822,31.5,2.1,72.8,64.3,45,0.2,2.6,3,12.4,1.1,9,3.4,26.4,71.2,99.7,92.2,96.3,42.4,20.9,42.1,1.5,Rest of India
Dadra Nagar Haveli Daman Diu,Daman,83.8,767,42.9,1.1,52.5,48.9,34.4,0,1.3,3.9,8.8,0.5,21.1,10.7,20.7,61.4,96.6,89.5,97.4,30,25.2,29.3,1.4,Rest of India
Dadra Nagar Haveli Daman Diu,Diu,77.8,983,52.7,1.1,77.8,52.2,32.6,0,1.2,1.9,15.9,0.5,7.7,3.5,35.4,82.6,97,93,95.7,33.9,17.4,28.5,8.2,Rest of India
Goa,North Goa,89.5,849,72,1.5,63.1,54.8,23,0,2.3,4,23.1,0,9.2,4.5,33.2,82.1,100,93.1,99.6,24.2,17.7,25.8,2.7,Rest of India
Goa,South Goa,88.2,819,70.9,1.4,75,67.8,40,0,2.5,1,23.5,0,7.2,3.3,19.7,89.4,99.5,99.5,100,28.3,21.4,21,2.8,Rest of India
Gujarat,Ahmedabad,79.8,994,42.7,0.5,79,58.2,30.8,0,3.3,3.8,19.7,0.1,6.5,3.4,36.2,76.5,98.7,90,94.5,35.5,17.5,34,4.6,Rest of India
Gujarat,Amreli,69.9,977,27.2,1.3,62.2,51.9,40.5,0.2,3.4,0.5,6.9,0,9.5,5.4,30,75.4,98.3,87,90.1,35.3,23.7,30.6,6.8,Rest of India
Gujarat,Anand,75.2,726,32.2,2.3,53.7,49.2,37.6,0,1.5,0.6,9.2,0.4,16.5,6.3,23.9,74.5,98.6,90.3,96,38.4,28.6,46.6,3.8,Rest of India
Gujarat,Aravali,68.6,965,34.7,2.7,68.7,56.3,43.5,0.1,1.5,2.8,8.1,0,11.2,5,30,75.6,95.8,87.6,92.2,47.1,29,47.2,3.3,Rest of India
Gujarat,Banaskantha,61.1,967,17.6,4.8,42.6,37.5,29.1,0,1.7,2.2,4.3,0.2,18.5,6.9,25.1,58.7,92.9,86.1,92.9,39,25.5,44.1,1.2,Rest of India
Gujarat,Bharuch,76.7,1112,31.5,2.5,36.2,35.7,29.6,0,0.7,0.7,4.8,0,20.3,10.1,16.2,72.2,96.3,78.8,91.1,40.9,24.5,45.5,4.7,Rest of India
Gujarat,Bhavnagar,72,1192,26.3,3.3,45.7,40.5,29.7,0.1,3,1.2,6.5,0,15.5,6.9,12.6,56.2,94.8,87,94.2,32.6,29.6,39.5,1.8,Rest of India
Gujarat,Botad,68.9,992,22,2.3,49.3,44.6,31.8,0,2,3.1,7.7,0,13.2,6.2,17.4,64.1,98.2,85.4,93.5,32.2,26,32.3,5.8,Rest of India
Gujarat,Chhota Udaipur,52.3,937,20.3,2.8,77.5,67.3,57.4,0,1.7,1.1,5.5,0.3,5.1,3.4,64.2,91.2,99.6,91.1,85.7,48.6,28.4,48.1,4.8,Rest of India
Gujarat,Dahod,59.6,1013,23.1,4,70.8,55.6,42.9,0,1.2,2.3,6.3,0,7.7,2.7,31.6,79.3,98.9,87.2,92.5,55.3,27.8,53,5.8,Rest of India
Gujarat,Devbhumi Dwarka,59,955,15.8,1.4,47.7,41.1,19.1,0,4.5,6.1,11.1,0.3,15.9,6,33.5,65.9,98.3,90.1,94.8,30.2,26.1,36.2,4.9,Rest of India
Gujarat,Gandhinagar,77.6,766,37.9,1.3,49.3,43.6,25.5,0,2.1,2.6,13.2,0.1,18.5,6.6,16.9,59.8,96.2,88.2,97.8,38.1,30.6,44.6,0.5,Rest of India
Gujarat,Gir Somnath,65.8,921,30.8,2,57.8,51.1,39.9,0,1.2,0.4,9.5,0.1,12.4,4.8,24,48.6,95.6,90.8,87.1,44.4,18.5,30.3,5,Rest of India
Gujarat,Jamnagar,72.8,912,35.3,2.2,85.2,66.5,31.9,0,11.4,4.6,18.1,0.4,2,0.8,60.8,92.2,99.5,92.4,96.5,28.4,23.8,28.9,3.6,Rest of India
Gujarat,Junagadh,73.8,876,35,1.6,48,42.3,25.9,0.1,2.9,2,11.1,0,13.8,4,26.5,69,100,84.1,97.4,37.3,17.3,26.4,4.4,Rest of India
Gujarat,Kachchh,66.6,994,24.1,2.9,76.5,62.5,34.4,0,3.9,3.3,19.5,0.4,7.8,3.9,36.1,85.8,97.8,93.9,97.4,37.5,20.2,33.4,2.6,Rest of India
Gujarat,Kheda,74,868,24.2,1,29.8,28.7,21.4,0,1,0.8,5.3,0,16.5,7.9,13.8,49.3,98.1,85.1,95.2,37.3,30.9,39.5,2.5,Rest of India
Gujarat,Mahesana,71.3,742,32.6,3.1,46.3,41.8,26.2,0,2.8,3.1,9.5,0.1,18.4,7.6,20.9,76.4,97.1,79.7,97.3,31,28.2,41.4,1.5,Rest of India
Gujarat,Mahisagar,66.1,963,33.9,3.5,73.3,59.1,44.6,0,1.2,3.1,8.7,0.7,6.8,3.1,44.3,83.1,97.4,90.9,93,43.4,26.2,49,2.6,Rest of India
Gujarat,Morbi,70.5,858,35.4,1.7,73.3,58.7,26.7,0.2,9.7,5,16.9,0.2,10.2,5.7,44.4,82,96.7,89.9,94.8,32.9,25.2,32.3,4,Rest of India
Gujarat,Narmada,66,853,22.6,2,80.2,67,56.3,0,1.4,0.8,7,0,5.3,2.3,45,75.6,99.6,87.2,81.7,47.2,23,52.8,3.1,Rest of India
Gujarat,Navsari,77.9,1006,47.7,1.4,78.2,65.1,52.1,0.8,1.3,0.7,9.3,0.1,6.5,3.7,62.8,87.5,97.6,98.2,99.3,36.8,29,43.6,3.4,Rest of India
Gujarat,Panchmahal,70.1,879,28.4,2.9,71.4,52.6,40.7,0,2.1,2.8,6,0.3,7,2.4,29.2,68.1,96.6,88,88.4,47.1,35.7,51.9,3.4,Rest of India
Gujarat,Patan,64.8,976,22.6,2.1,65.6,52.9,35.4,0,5.2,3.6,8.4,0.1,11.2,5,37.5,77.3,99.6,93.6,98.6,50.5,20.9,42.3,3.1,Rest of India
Gujarat,Porbandar,74.9,1045,35.9,2.1,75.5,68.5,34.5,0,11.3,5.1,17.1,0.3,7.7,3.2,59.1,81,99.5,97.6,100,18.2,21.8,25.5,3.9,Rest of India
Gujarat,Rajkot,78.4,1049,42.6,2.3,78.8,53.5,26.5,0.1,8,2.4,16.5,0,6.2,2.4,48.1,86.2,98.2,98.1,99.3,38.9,17.6,37,8.1,Rest of India
Gujarat,Sabarkantha,68.7,871,31.1,4,66.4,55.5,37.3,0,4.3,2.2,11,0.1,9.2,3.5,21.8,64,99.1,86.9,89.4,37,33.1,41,4.9,Rest of India
Gujarat,Surat,82.7,890,44,1.8,78.7,65.6,45.2,0.2,2.7,2,14.3,0.1,5.7,1.4,39.8,83.6,97.4,96.7,97.7,36.1,26,32.5,5.3,Rest of India
Gujarat,Surendranagar,66,992,23.3,4.5,76,65.7,47.3,0.1,3.4,4.3,10.3,0,8.3,4,25.1,75.5,98.6,78.4,85.6,39.2,27.1,41.8,5.2,Rest of India
Gujarat,Tapi,66.1,1185,32.5,2.1,83.1,74.4,60.8,4.4,2.4,0.9,5.5,0.2,3.2,1.1,41.3,71.5,99.5,90,92.9,41.7,36.6,51.8,1.9,Rest of India
Gujarat,The Dangs,69.9,1143,20.7,4,79.8,69.1,55.7,5.3,0.5,1.1,5,0.5,5.1,2.7,39.3,76.5,99.5,80.1,74.5,37.6,40.9,53.1,1.1,Rest of India
Gujarat,Vadodara,82,1186,46.4,1.7,58.5,49.1,32.5,0,2.8,1.7,12,0,11.4,6.5,17.5,44.5,96.6,90.7,95.9,42.3,20.1,39.9,6.4,Rest of India
Gujarat,Valsad,79,1020,45.6,1.7,76.1,61.9,45.4,0,2,0.7,11.9,0.3,9.3,5.5,52.7,70.5,100,95,96.5,37.8,23.2,34.8,0.3,Rest of India
Haryana,Ambala,82.2,764,55.3,2.4,69.5,57.6,25.5,0.6,3.2,3.2,23.9,0.5,7,2.2,15.6,41.7,96.2,86.9,97.8,24.1,10.9,13.7,6.2,Rest of India
Haryana,Bhiwani,70.2,899,47,2.9,72,67.2,49.7,0.4,3.6,2.1,11.1,0.1,9.3,4.6,33,66.4,93.3,91.5,97.7,29,6,20.6,1,Rest of India
Haryana,Charkhi Dadri,69.6,1007,54.5,1.7,69.4,61.3,42.6,0.6,4,1.6,11.8,0,11.1,5.2,30.6,65.6,95.3,93.9,98.9,23.9,10.6,16.9,1.8,Rest of India
Haryana,Faridabad,80.5,955,55.6,1.4,77.5,58.2,22.4,0.6,5.7,2.4,23.9,0.4,7.4,3.3,23.8,91.7,95,93.5,92.5,28.9,8,19.5,2.4,Rest of India
Haryana,Fatehabad,67.3,901,41.5,2.8,75.8,62.9,39.1,0.6,5,2.1,15.6,0.1,4.6,2.2,29.1,70.8,98.1,96.9,97.9,24.6,16,26.6,1.1,Rest of India
Haryana,Gurgaon,80.9,858,59.6,1.9,70.3,61.2,34.6,0.1,6,1.5,18.5,0,7.8,3.1,29.2,74.4,93.8,87.7,96.7,22.1,15.7,22.2,2.6,Rest of India
Haryana,Hisar,69.3,856,43.9,3.4,74.4,64.6,42.9,0.3,4.9,2.6,13.1,0.5,8.9,3.1,24.4,69.6,99.4,93.3,98.2,27.8,16.4,21.4,1.8,Rest of India
Haryana,Jhajjar,77.3,1282,62.7,1.2,80.2,62,33.8,0.7,7.2,2.3,17.1,0.1,4.6,2.1,23.2,60.8,98.7,96,97.2,15.6,8,9.7,6.3,Rest of India
Haryana,Jind,71.4,850,45.3,1.2,79.2,65.2,39.5,1,8.6,2.7,12.4,0.4,5.4,2.6,25.1,76.2,95.4,96.4,98.7,25.5,8.8,22.9,2.5,Rest of India
Haryana,Kaithal,66.3,804,45.9,3.7,76.5,61,36.4,3,4,1.5,15.4,0.4,4.8,1.7,12.5,58.5,97.9,95.3,98.2,29.9,20.7,29.9,2.3,Rest of India
